time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index
2021-07-29T16:00:19.007,1.833,-161.006,54.987,35685.994,0.376,0.151,0.000,5.814,1
2021-07-29T16:08:42.893,1.685,-161.109,55.234,44626.224,0.267,0.262,0.005,10.000,2
2021-07-29T16:09:40.488,3.355,-161.072,55.276,61000.000,0.452,0.200,0.001,11.000,3
2021-07-29T16:26:47.834,1.677,-161.004,55.096,51109.472,0.026,0.134,-0.002,4.000,4
2021-07-29T16:38:28.233,1.723,-161.273,55.227,61000.000,0.593,0.250,-0.024,9.000,5
2021-07-29T17:00:18.793,2.079,-161.000,55.282,61000.000,0.375,0.218,0.015,10.000,6
2021-07-29T17:03:56.307,1.607,-161.283,55.319,61000.000,0.293,0.258,-0.024,5.000,7
2021-07-29T17:08:14.739,0.304,-161.881,55.367,0.000,0.181,0.764,-0.009,4.000,8
2021-07-29T17:22:55.031,1.809,-161.002,55.173,41845.657,0.152,0.191,0.001,7.000,9
2021-07-29T17:33:03.193,1.733,-161.056,55.294,61000.000,0.384,0.243,-0.009,7.000,10
2021-07-29T17:34:06.853,1.991,-161.888,55.922,56799.042,0.293,0.220,-0.005,6.000,11
2021-07-29T17:52:10.175,1.838,-161.095,55.279,61000.000,0.358,0.253,-0.022,10.000,12
2021-07-29T18:14:29.831,2.019,-161.056,55.251,61000.000,0.524,0.169,0.011,7.000,13
2021-07-29T18:38:12.097,1.913,-161.267,55.223,58042.608,0.546,0.183,0.026,11.990,14
2021-07-29T18:46:47.480,1.716,-160.999,55.296,61000.000,0.290,0.355,-0.044,6.967,15
2021-07-29T18:53:42.061,0.688,-162.073,54.905,0.000,0.226,0.214,0.015,4.000,16
2021-07-29T18:54:02.496,1.487,-161.992,54.905,12395.537,0.216,0.250,0.000,4.000,17
2021-07-29T19:12:01.338,2.629,-161.011,55.322,61000.000,0.386,0.220,0.012,12.000,18
2021-07-29T19:53:30.148,1.838,-161.307,55.368,59823.259,0.473,0.268,0.023,10.833,19
2021-07-29T20:21:45.842,1.797,-161.633,55.353,61000.000,0.472,0.238,0.003,7.000,20
2021-07-29T20:23:31.835,1.821,-161.003,55.139,39258.892,0.342,0.191,0.029,12.000,21
2021-07-29T20:25:37.819,1.680,-161.001,55.232,57499.745,0.176,0.290,0.022,7.000,22
2021-07-29T20:31:02.968,2.883,-161.001,55.223,61000.000,0.493,0.248,0.025,10.000,23
2021-07-29T20:33:14.936,3.568,-161.201,55.294,59451.275,0.349,0.269,-0.016,12.000,24
2021-07-29T21:00:27.059,3.478,-161.001,55.238,61000.000,0.558,0.226,-0.008,8.000,25
2021-07-29T21:08:23.305,1.995,-160.998,55.360,60838.689,0.234,0.302,-0.047,4.000,26
2021-07-29T21:18:23.767,2.152,-161.289,55.334,60881.549,0.450,0.198,0.014,12.000,27
2021-07-29T21:39:44.076,2.853,-161.082,55.274,61000.000,0.439,0.215,0.000,11.000,28
2021-07-29T22:02:19.931,1.690,-161.232,55.228,58139.183,0.120,0.140,0.003,5.000,29
2021-07-29T22:18:56.698,2.874,-161.074,55.276,61000.000,0.445,0.224,-0.006,11.000,30
2021-07-29T22:56:34.624,2.008,-161.312,55.340,61000.000,0.531,0.205,0.003,11.883,31
2021-07-29T23:38:43.247,2.427,-161.000,55.278,61000.000,0.402,0.205,0.004,11.000,32
