station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
AV.DEER..BH,2021-07-29T16:00:00.000,1666,2021-07-29T16:00:33.320,0.364,P,2021-07-29T16-00-00.mseed,7.248401061588083e-07,7.248401061588083e-07
AV.DEER..BH,2021-07-29T16:00:00.000,3083,2021-07-29T16:01:01.660,0.694,P,2021-07-29T16-00-00.mseed,1.5041252936498495e-06,1.5041252936498495e-06
AV.DEER..BH,2021-07-29T16:00:00.000,26916,2021-07-29T16:08:58.320,0.723,P,2021-07-29T16-00-00.mseed,1.0609554692564416e-06,1.0609554692564416e-06
AV.DEER..BH,2021-07-29T16:00:00.000,29878,2021-07-29T16:09:57.560,0.866,P,2021-07-29T16-00-00.mseed,2.3579179469379596e-05,2.3579179469379596e-05
AV.DEER..BH,2021-07-29T16:00:00.000,81230,2021-07-29T16:27:04.600,0.331,P,2021-07-29T16-00-00.mseed,9.857978966465453e-07,9.857978966465453e-07
AV.DEER..BH,2021-07-29T16:00:00.000,93250,2021-07-29T16:31:05.000,0.471,P,2021-07-29T16-00-00.mseed,1.5410964806505945e-06,1.5410964806505945e-06
AV.DEER..BH,2021-07-29T16:00:00.000,116164,2021-07-29T16:38:43.280,0.89,P,2021-07-29T16-00-00.mseed,8.854980819705816e-07,8.854980819705816e-07
AV.DEER..BH,2021-07-29T16:00:00.000,117943,2021-07-29T16:39:18.860,0.371,P,2021-07-29T16-00-00.mseed,1.656836843721976e-06,1.656836843721976e-06
AV.DEER..BH,2021-07-29T16:00:00.000,192642,2021-07-29T17:04:12.840,0.577,P,2021-07-29T16-00-00.mseed,8.948042591327976e-07,8.948042591327976e-07
AV.DEER..BH,2021-07-29T16:00:00.000,250848,2021-07-29T17:23:36.960,0.573,P,2021-07-29T16-00-00.mseed,2.116272526109242e-06,2.116272526109242e-06
AV.DEER..BH,2021-07-29T16:00:00.000,267894,2021-07-29T17:29:17.880,0.414,P,2021-07-29T16-00-00.mseed,4.880678261542926e-06,4.880678261542926e-06
