id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma
AV.DEER..BH,2021-09-25T00:00:40.520000,S,0.385,8.763599339545181e-07,1,0.002262214308705067
AV.DEER..BH,2021-09-25T00:42:28.160000,S,0.42,6.462629471570835e-07,-1,-1.0
AV.DEER..BH,2021-09-25T00:44:23.540000,S,0.626,4.679054086409451e-07,-1,-1.0
AV.DEER..BH,2021-09-25T01:12:08.040000,S,0.519,7.689130825383472e-07,-1,-1.0
AV.DOL..BH,2021-09-25T00:40:55.880000,P,0.412,4.70594017087933e-07,-1,-1.0
AV.DOL..BH,2021-09-25T00:42:15.920000,S,0.432,6.808675721003965e-07,-1,-1.0
AV.DOL..BH,2021-09-25T00:44:11.400000,S,0.528,7.696041279814381e-07,-1,-1.0
AV.DOL..BH,2021-09-25T01:11:53.460000,S,0.697,6.99200029430358e-07,-1,-1.0
AV.DOL..BH,2021-09-25T03:17:06.440000,S,0.34,8.309809231832332e-07,-1,-1.0
AV.DT1..BH,2021-09-25T00:00:31.260000,P,0.401,6.93497383963404e-07,1,0.000634893728474223
AV.DT1..BH,2021-09-25T00:42:23.320000,P,0.373,8.491035714541795e-07,-1,-1.0
AV.DT1..BH,2021-09-25T01:12:06.280000,P,0.514,7.218416158139007e-07,-1,-1.0
AV.DT1..BH,2021-09-25T02:45:39.100000,P,0.519,5.691161959475721e-07,-1,-1.0
AV.DTN..BH,2021-09-25T00:41:02.760000,P,0.302,8.106058544399275e-07,-1,-1.0
AV.DTN..BH,2021-09-25T02:45:39.160000,P,0.657,7.603900371577765e-07,-1,-1.0
AV.DTN..BH,2021-09-25T00:00:40.500000,S,0.393,6.449909051298164e-07,1,0.0008589208021075928
AV.DTN..BH,2021-09-25T01:12:06.760000,S,0.422,8.754116720410821e-07,-1,-1.0
AV.HAG..SH,2021-09-25T00:00:00.020000,P,0.46,2.0511593845640166e-07,-1,-1.0
AV.HAG..SH,2021-09-25T02:22:06.600000,P,0.796,1.1852475836349186e-06,-1,-1.0
AV.HAG..SH,2021-09-25T00:00:32.800000,S,0.406,3.763506697396224e-07,1,0.0011687756901954218
AV.HAG..SH,2021-09-25T01:26:25.680000,S,0.319,1.682681727288582e-07,-1,-1.0
AV.HAG..SH,2021-09-25T03:29:20.840000,S,0.333,1.5713774814685166e-07,-1,-1.0
AV.PN7A..BH,2021-09-25T01:39:40.240000,P,0.549,1.7451359326514648e-06,2,0.002262214308705067
AV.PN7A..BH,2021-09-25T01:58:01.440000,P,0.381,1.5144584040172049e-06,3,0.002262214308705067
AV.PN7A..BH,2021-09-25T02:02:45.320000,P,0.4,1.138083007390378e-06,4,0.002262214308705067
AV.PN7A..BH,2021-09-25T02:13:56.440000,P,0.501,1.0698333881009605e-06,-1,-1.0
AV.PN7A..BH,2021-09-25T02:16:16.280000,P,0.809,2.0207617126288824e-06,-1,-1.0
AV.PN7A..BH,2021-09-25T02:21:41.160000,P,0.402,1.4241292092265212e-06,-1,-1.0
AV.PN7A..BH,2021-09-25T02:21:42.380000,P,0.325,1.5378715261249454e-06,-1,-1.0
AV.PN7A..BH,2021-09-25T00:26:26.100000,S,0.5,1.0964065495500108e-06,-1,-1.0
AV.PN7A..BH,2021-09-25T02:21:42.220000,S,0.436,1.5378715261249454e-06,-1,-1.0
AV.PS1A..BH,2021-09-25T01:39:39.820000,P,0.747,1.2517081131591112e-06,2,0.000634893728474223
AV.PS1A..BH,2021-09-25T01:44:08.280000,P,0.316,1.499014160799561e-06,-1,-1.0
AV.PS1A..BH,2021-09-25T02:02:45.340000,P,0.767,1.7067434328055242e-06,4,0.000634893728474223
AV.PS1A..BH,2021-09-25T02:13:13.080000,P,0.477,1.710592869130778e-06,-1,-1.0
AV.PS1A..BH,2021-09-25T02:16:16.640000,P,0.651,1.9780445654760115e-06,-1,-1.0
AV.PS1A..BH,2021-09-25T00:00:27.360000,S,0.593,1.404609861310746e-06,-1,-1.0
AV.PS1A..BH,2021-09-25T01:39:48.020000,S,0.674,1.497257699156762e-06,2,0.0008589208021075928
AV.PS1A..BH,2021-09-25T02:09:09.160000,S,0.435,1.4031389810043038e-06,6,0.002262214308705067
AV.PS1A..BH,2021-09-25T02:21:54.920000,S,0.422,2.347193458263064e-06,-1,-1.0
AV.PS4A..BH,2021-09-25T01:39:39.420000,P,0.82,2.4089233647828223e-06,2,0.0011687756901954218
AV.PS4A..BH,2021-09-25T02:02:45.500000,P,0.357,1.7222247379322653e-06,4,0.0008589208021075928
AV.PS4A..BH,2021-09-25T02:07:09.980000,P,0.803,1.372288124912302e-06,5,0.002262214308705067
AV.PS4A..BH,2021-09-25T02:08:17.760000,P,0.315,1.3200805142332683e-06,-1,-1.0
AV.PS4A..BH,2021-09-25T02:09:01.360000,P,0.524,1.8742904330792955e-06,6,0.000634893728474223
AV.PS4A..BH,2021-09-25T02:12:58.220000,P,0.353,8.357257001989638e-07,-1,-1.0
AV.PS4A..BH,2021-09-25T02:16:57.180000,P,0.759,1.780244019755628e-06,-1,-1.0
AV.PS4A..BH,2021-09-25T02:21:48.920000,P,0.781,1.6109879652503878e-06,-1,-1.0
AV.PS4A..BH,2021-09-25T01:33:30.880000,S,0.618,1.2365115935608628e-06,-1,-1.0
AV.PS4A..BH,2021-09-25T01:39:43.680000,S,0.455,1.5982089962562895e-06,2,0.0005482887694906511
AV.PS4A..BH,2021-09-25T01:39:44.740000,S,0.448,2.4089233647828223e-06,-1,-1.0
