time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id
2021-07-29T07:59:48.825,2.935,-162.275,55.386,61000.0,0.455,0.316,0.016,14.864,1,20210729T080000_1
2021-07-29T08:03:25.059,2.537,-162.029,55.443,59416.716,0.502,0.278,-0.041,12.874,2,20210729T080000_2
2021-07-29T08:09:30.003,2.356,-161.378,55.134,44046.185,0.837,0.478,0.138,7.0,3,20210729T080000_3
2021-07-29T08:13:27.346,2.009,-161.375,55.357,40697.308,0.417,0.554,-0.016,8.799,4,20210729T080000_4
2021-07-29T08:16:23.769,2.563,-161.427,55.227,32331.784,0.376,0.273,0.048,10.318,5,20210729T080000_5
2021-07-29T08:17:46.419,2.283,-161.702,55.363,48401.102,0.174,0.459,-0.027,6.0,6,20210729T080000_6
2021-07-29T08:25:59.835,2.556,-161.472,55.419,61000.0,0.465,0.198,0.01,7.85,7,20210729T080000_7
2021-07-29T08:40:46.488,2.67,-161.377,55.251,61000.0,0.708,0.232,-0.003,15.0,8,20210729T080000_8
2021-07-29T08:55:52.303,2.361,-161.376,55.332,51362.173,0.547,0.27,-0.005,7.764,9,20210729T080000_9
2021-07-29T08:58:23.011,2.019,-162.316,55.505,0.0,0.766,0.184,-0.028,8.0,10,20210729T080000_10
2021-07-29T09:08:23.250,2.006,-161.378,55.123,30596.08,0.668,0.249,0.084,13.002,11,20210729T080000_11
2021-07-29T09:17:38.353,2.113,-161.376,55.317,55451.593,0.554,0.238,-0.018,13.941,12,20210729T080000_12
2021-07-29T09:23:23.769,1.948,-161.376,55.324,58064.157,0.472,0.359,0.029,13.972,13,20210729T080000_13
2021-07-29T09:26:48.926,1.748,-161.374,55.418,51317.202,0.477,0.48,0.009,9.0,14,20210729T080000_14
2021-07-29T09:28:54.487,2.505,-161.443,55.237,29852.76,0.457,0.351,0.064,13.844,15,20210729T080000_15
2021-07-29T09:35:54.245,1.942,-161.381,54.91,54509.69,0.491,0.384,-0.02,6.89,16,20210729T080000_16
2021-07-29T09:38:05.046,2.01,-161.52,54.991,43709.036,0.351,0.264,0.044,7.325,17,20210729T080000_17
2021-07-29T09:43:53.504,1.372,-161.549,55.057,0.0,0.473,0.269,0.037,8.0,18,20210729T080000_18
2021-07-29T09:45:14.988,1.99,-161.375,55.358,54882.352,0.424,0.252,0.053,7.872,19,20210729T080000_19
2021-07-29T09:52:54.052,2.175,-161.378,55.252,35093.1,0.336,0.168,0.016,12.91,20,20210729T080000_20
2021-07-29T09:54:13.266,2.822,-161.376,55.297,61000.0,0.699,0.185,0.003,16.0,21,20210729T080000_21
2021-07-29T09:59:08.630,2.11,-161.377,55.252,61000.0,0.525,0.306,-0.038,12.0,22,20210729T080000_22
2021-07-29T10:02:13.778,1.73,-161.545,55.104,20083.33,0.508,0.197,0.04,10.375,23,20210729T080000_23
2021-07-29T10:05:40.100,1.536,-161.638,55.206,61000.0,0.768,0.402,-0.139,6.86,24,20210729T080000_24
2021-07-29T10:06:28.702,1.005,-161.561,55.278,375.491,0.458,0.436,0.09,5.932,25,20210729T080000_25
2021-07-29T10:13:54.960,1.672,-161.783,55.369,51799.503,0.375,0.316,-0.026,8.0,26,20210729T080000_26
2021-07-29T10:16:27.976,1.674,-161.378,55.142,14811.63,0.632,0.219,0.048,10.0,27,20210729T080000_27
2021-07-29T10:17:51.335,1.837,-161.376,55.302,45224.889,0.779,0.265,0.062,14.0,28,20210729T080000_28
2021-07-29T10:20:36.501,1.79,-161.627,55.255,61000.0,0.635,0.287,-0.081,6.0,29,20210729T080000_29
2021-07-29T10:22:53.789,1.354,-161.617,55.372,31083.866,0.776,0.31,-0.005,11.0,30,20210729T080000_30
2021-07-29T10:24:42.588,1.898,-161.376,55.318,60489.083,0.551,0.299,0.039,11.0,31,20210729T080000_31
2021-07-29T10:27:26.531,2.087,-161.377,55.259,61000.0,0.432,0.252,0.002,12.0,32,20210729T080000_32
2021-07-29T10:38:29.893,1.806,-161.376,55.335,59463.394,0.61,0.26,0.053,14.0,33,20210729T080000_33
2021-07-29T10:42:49.405,1.225,-161.376,55.32,33720.703,0.222,0.471,0.047,6.0,34,20210729T080000_34
2021-07-29T10:50:42.626,2.075,-161.381,54.928,61000.0,0.822,0.329,0.139,13.953,35,20210729T080000_35
2021-07-29T10:54:36.220,1.329,-161.686,55.32,38191.899,0.818,0.268,0.059,9.969,36,20210729T080000_36
2021-07-29T10:59:02.103,1.657,-161.642,55.337,50816.576,0.665,0.196,0.036,13.664,37,20210729T080000_37
2021-07-29T11:05:25.335,2.026,-161.376,55.322,60712.334,0.402,0.221,0.029,10.3,38,20210729T080000_38
2021-07-29T11:09:15.069,2.563,-161.376,55.31,61000.0,0.515,0.307,0.04,12.0,39,20210729T080000_39
2021-07-29T11:16:59.365,1.887,-161.375,55.407,61000.0,0.598,0.231,-0.027,5.991,40,20210729T080000_40
2021-07-29T11:24:03.426,2.053,-162.4,54.903,61000.0,1.087,0.339,-0.061,12.826,41,20210729T080000_41
2021-07-29T11:29:55.262,1.78,-161.739,55.299,26586.644,0.806,0.21,-0.02,12.867,42,20210729T080000_42
2021-07-29T11:42:00.088,1.8,-161.376,55.31,61000.0,0.462,0.191,0.002,11.979,43,20210729T080000_43
2021-07-29T11:48:28.946,1.367,-161.7,55.278,23620.019,0.655,0.377,-0.013,13.0,44,20210729T080000_44
2021-07-29T12:17:21.980,1.343,-161.377,55.252,28780.718,0.424,0.305,0.048,8.0,45,20210729T080000_45
2021-07-29T12:18:31.640,1.537,-161.797,55.319,28239.685,0.576,0.235,-0.007,12.125,46,20210729T080000_46
2021-07-29T12:24:09.250,1.133,-161.819,55.45,23256.653,0.945,0.307,0.047,12.0,47,20210729T080000_47
2021-07-29T12:28:50.484,2.15,-161.385,55.285,57366.163,0.65,0.26,0.015,11.0,48,20210729T080000_48
2021-07-29T12:32:40.553,1.923,-161.375,55.411,61000.0,0.503,0.275,0.062,10.843,49,20210729T080000_49
2021-07-29T12:43:17.994,2.462,-161.644,55.318,37360.353,0.691,0.201,0.031,16.879,50,20210729T080000_50
2021-07-29T12:52:14.696,2.158,-161.376,55.282,61000.0,0.526,0.348,0.007,12.0,51,20210729T080000_51
2021-07-29T13:03:40.490,1.281,-162.122,55.443,41091.75,0.217,0.288,0.035,7.0,52,20210729T080000_52
