time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id,event_id_mapped
2021-07-29T07:59:49.096,3.105,-161.552,55.203,61000.0,0.509,0.257,0.048,7.097,1,20210729T080000_1,1
2021-07-29T07:59:52.664,2.6,-162.287,55.433,33472.043,0.505,0.421,-0.005,12.903,2,20210729T080000_2,2
2021-07-29T08:03:24.350,2.863,-162.517,55.48,61000.0,0.45,0.213,0.028,7.975,4,20210729T080000_4,3
2021-07-29T08:03:27.527,2.167,-161.285,55.264,5774.231,0.557,0.351,0.069,7.025,3,20210729T080000_3,4
2021-07-29T08:03:59.054,2.468,-161.389,55.15,7625.094,0.296,0.348,0.013,5.0,5,20210729T080000_5,5
2021-07-29T08:07:46.114,2.728,-160.995,55.47,6869.167,0.517,0.104,0.0,4.0,6,20210729T080000_6,6
2021-07-29T08:09:30.220,2.561,-161.566,55.385,54156.959,0.781,0.502,-0.009,9.0,7,20210729T080000_7,7
2021-07-29T08:10:24.488,2.243,-162.009,55.238,14578.677,0.693,0.332,-0.047,4.81,8,20210729T080000_8,8
2021-07-29T08:10:56.436,3.059,-161.271,55.217,5527.906,0.762,0.391,0.092,7.0,9,20210729T080000_9,9
2021-07-29T08:13:25.599,2.338,-161.001,55.23,31651.211,0.65,0.504,0.071,9.0,10,20210729T080000_10,10
2021-07-29T08:14:19.561,2.296,-160.999,55.299,1588.667,0.574,0.483,-0.004,6.0,11,20210729T080000_11,11
2021-07-29T08:14:33.237,2.582,-160.993,55.559,38568.955,0.596,0.402,0.156,4.807,12,20210729T080000_12,12
2021-07-29T08:16:19.115,2.919,-161.112,55.254,53907.767,0.534,0.288,0.044,13.484,13,20210729T080000_13,13
2021-07-29T08:16:58.820,2.59,-162.779,55.203,25860.631,0.214,0.175,-0.014,3.733,14,20210729T080000_14,14
2021-07-29T08:18:19.098,2.28,-161.216,55.639,1487.035,0.716,0.339,0.122,5.0,15,20210729T080000_15,15
2021-07-29T08:25:45.447,2.101,-162.467,54.911,184.325,1.252,0.42,-0.085,5.0,16,20210729T080000_16,16
2021-07-29T08:25:58.438,2.705,-161.211,55.372,61000.0,0.612,0.174,0.034,9.0,17,20210729T080000_17,17
2021-07-29T08:30:33.958,2.261,-160.996,55.427,50184.793,0.745,0.498,-0.117,7.0,18,20210729T080000_18,18
