time,latitude,longitude,depth_km,magnitude,event_id
2021-07-29T23:38:44.800000,55.27747,-160.796159,40.2,2.24,102
2021-07-29T09:08:20.310000,55.136125,-161.006771,35.73,2.01,11
2021-07-29T09:17:38.010000,55.306592,-160.983089,42.36,2.11,12
2021-07-29T09:23:22.880000,55.261971,-160.848975,39.88,1.95,13
2021-07-29T09:28:54.540000,55.273987,-161.312419,18.36,2.5,15
2021-07-29T09:43:53.380000,55.085417,-161.64152,12.54,1.37,18
2021-07-29T08:03:26.930000,55.410331,-161.841341,49.23,2.54,2
2021-07-29T09:52:54.070000,55.28477,-161.255192,25.97,2.17,20
2021-07-29T09:54:13.220000,55.3172,-160.952653,44.08,2.82,21
2021-07-29T10:02:12.400000,55.079195,-161.380973,17.02,1.73,23
2021-07-29T10:13:56.110000,55.398226,-161.697591,46.32,1.67,26
2021-07-29T10:16:29.700000,55.185242,-161.498747,8.31,1.67,27
2021-07-29T10:17:54.180000,55.210164,-161.364176,7.87,1.84,28
2021-07-29T10:27:25.940000,55.188127,-160.814404,40.03,2.09,32
2021-07-29T10:38:27.890000,55.285209,-160.696989,43.51,1.81,33
2021-07-29T10:54:34.540000,55.34502,-161.289062,27.36,1.33,36
2021-07-29T11:05:26.420000,55.225403,-161.022852,35.85,2.03,38
2021-07-29T11:48:29.390000,55.28787,-161.695247,14.81,1.37,44
2021-07-29T12:18:30.330000,55.265263,-161.454248,23.35,1.54,46
2021-07-29T12:28:50.210000,55.20472,-160.940576,37.57,2.15,48
2021-07-29T08:16:23.630000,55.285693,-161.31626,26.7,2.56,5
2021-07-29T12:43:18.300000,55.273039,-161.376514,20.0,2.46,50
2021-07-29T13:15:20.670000,55.283016,-161.347591,28.52,1.91,53
2021-07-29T13:18:29.120000,55.297412,-160.955013,31.38,2.32,54
2021-07-29T13:30:55.080000,55.260714,-160.865706,26.97,1.84,55
2021-07-29T13:48:44.030000,55.252209,-161.14165,30.44,1.67,56
2021-07-29T14:49:57.350000,55.325387,-161.395378,34.66,1.42,62
2021-07-29T14:53:03.640000,55.23383,-161.034277,25.96,1.73,63
2021-07-29T14:57:02.980000,55.289233,-161.505957,17.1,0.76,64
2021-07-29T15:30:21.950000,55.204484,-161.337614,18.87,1.69,68
2021-07-29T08:26:00.040000,55.213354,-160.931364,24.93,2.56,7
2021-07-29T16:08:42.960000,55.248425,-160.890771,27.1,1.54,71
2021-07-29T16:09:41.510000,55.289079,-160.842871,47.85,3.21,72
2021-07-29T17:00:24.120000,55.262451,-161.222526,27.93,1.96,74
2021-07-29T17:04:04.780000,55.245223,-161.716357,9.48,1.53,75
2021-07-29T17:23:00.200000,55.214811,-161.336051,11.74,1.59,77
2021-07-29T17:33:06.720000,55.220467,-161.057292,27.3,1.41,79
2021-07-29T08:40:45.560000,55.268587,-160.7993,42.84,2.67,8
2021-07-29T17:52:10.500000,55.248173,-160.72417,42.48,1.7,81
2021-07-29T18:14:39.000000,55.221627,-161.588509,2.76,1.34,82
2021-07-29T18:17:45.480000,55.094491,-161.45319,15.68,1.04,83
2021-07-29T18:38:14.600000,55.211576,-161.144694,27.77,1.74,84
2021-07-29T18:46:50.320000,55.255774,-160.922217,36.13,1.53,85
2021-07-29T19:12:07.840000,55.286312,-161.335286,22.85,2.05,86
2021-07-29T19:53:30.760000,55.271989,-160.883838,27.23,1.75,88
2021-07-29T08:55:54.340000,55.36899,-161.360335,39.42,2.36,9
2021-07-29T20:23:39.940000,55.276286,-161.666781,7.39,1.71,90
2021-07-29T20:25:45.000000,55.253475,-161.377376,13.02,1.56,91
2021-07-29T20:31:07.880000,55.259827,-161.162354,26.1,2.48,92
2021-07-29T20:42:34.660000,55.133484,-161.739388,14.24,0.97,94
2021-07-29T21:00:33.840000,55.215438,-161.308903,11.27,2.88,95
2021-07-29T21:08:24.640000,55.283508,-160.76097,37.91,2.01,96
2021-07-29T21:39:48.080000,55.251261,-161.126693,27.84,2.59,98
