time,latitude,longitude,depth_km,magnitude,event_id
2021-07-29T12:32:39.070000,55.201188,-160.670622,9.89,1.96,100
2021-07-29T16:09:42.880000,55.240141,-160.901351,27.71,3.21,105
2021-07-29T16:38:28.030000,55.264636,-160.872884,51.54,1.78,108
2021-07-29T17:33:09.360000,55.134204,-161.295915,22.55,1.35,118
2021-07-29T17:52:10.720000,55.259277,-160.776514,45.11,1.82,122
2021-07-29T08:16:19.590000,55.320211,-160.939844,50.44,2.92,13
2021-07-29T18:46:50.080000,55.293001,-160.935319,43.63,1.48,131
2021-07-29T19:53:31.080000,55.302694,-160.912256,27.35,1.75,137
2021-07-29T20:25:39.660000,55.252686,-160.834635,26.79,1.54,142
2021-07-29T20:33:15.000000,55.210706,-160.744271,7.9,3.51,145
2021-07-29T20:34:07.480000,55.199552,-161.766862,1.1,3.07,146
2021-07-29T08:40:44.620000,55.271834,-160.670524,44.05,2.73,22
2021-07-29T09:08:22.970000,55.176978,-161.208252,17.58,1.99,31
2021-07-29T09:23:23.600000,55.236719,-160.902979,30.77,2.06,35
2021-07-29T09:52:52.550000,55.282336,-161.071712,27.86,2.34,47
2021-07-29T09:54:13.630000,55.323458,-160.981006,41.95,2.79,49
2021-07-29T10:24:42.520000,55.232629,-160.864567,27.24,2.05,69
2021-07-29T10:27:25.890000,55.245915,-160.871289,50.13,2.07,70
2021-07-29T10:38:28.250000,55.290324,-160.756527,45.18,1.86,72
2021-07-29T10:42:51.450000,55.253829,-161.426221,-0.02,1.17,73
2021-07-29T10:55:16.230000,55.270825,-161.800065,-2.08,0.77,77
2021-07-29T11:09:16.950000,55.24056,-161.073014,26.43,2.69,81
2021-07-29T12:17:22.580000,55.251733,-161.304736,-1.58,1.22,95
2021-07-29T12:18:29.800000,55.124044,-161.310531,16.63,1.96,96
