time,latitude,longitude,depth_km,magnitude,event_id,pc_ratio_energy
2021-07-29T09:17:39.770000,55.309127,-161.178044,46.4,2.17,12,5.93
2021-07-29T09:23:24.050000,55.285828,-160.934489,41.83,2.0,13,5.11
2021-07-29T09:28:55.900000,55.375785,-161.398584,19.69,2.75,15,8.74
2021-07-29T09:43:52.330000,55.08669,-161.525667,18.96,1.37,18,10.42
2021-07-29T09:52:54.840000,55.24974,-161.279102,11.91,2.17,20,17.77
2021-07-29T09:54:14.140000,55.320479,-160.990592,44.48,2.82,21,5.7
2021-07-29T10:02:12.820000,55.092037,-161.410596,18.35,1.76,23,12.77
2021-07-29T10:16:29.600000,55.187655,-161.514469,13.39,1.67,27,4.69
2021-07-29T10:17:54.390000,55.2191,-161.415055,13.7,1.83,28,10.49
2021-07-29T08:09:30.290000,55.072538,-161.143962,16.18,2.36,3,5.98
2021-07-29T10:22:54.410000,55.337911,-161.501514,22.3,1.35,30,26.62
2021-07-29T10:27:29.690000,55.279639,-161.208529,45.58,2.09,32,3.74
2021-07-29T10:38:28.690000,55.284245,-160.708919,41.7,1.81,33,4.22
2021-07-29T11:05:32.480000,55.190804,-161.613786,16.65,1.95,38,21.85
2021-07-29T11:29:54.690000,55.272921,-161.460726,22.31,1.78,42,20.85
2021-07-29T11:42:00.990000,55.249967,-160.919271,34.58,1.8,43,13.57
2021-07-29T11:48:29.010000,55.284176,-161.650456,20.46,1.47,44,27.41
2021-07-29T12:18:30.310000,55.258919,-161.410677,26.46,1.54,46,9.98
2021-07-29T12:28:51.680000,55.094519,-161.034212,16.38,2.15,48,27.17
2021-07-29T08:16:24.100000,55.293742,-161.304606,27.07,2.56,5,7.86
2021-07-29T12:43:18.710000,55.303963,-161.363997,18.61,2.46,50,14.53
2021-07-29T13:03:42.320000,55.452584,-162.103874,32.6,1.17,52,2.29
2021-07-29T13:15:20.400000,55.258883,-161.242611,31.31,1.95,53,14.39
2021-07-29T13:18:29.800000,55.306999,-160.960726,29.46,2.32,54,2.32
2021-07-29T13:30:56.330000,55.229484,-160.964176,13.64,1.84,55,4.38
2021-07-29T13:48:44.810000,55.261202,-161.155615,29.98,1.7,56,8.25
2021-07-29T14:48:06.300000,55.451351,-162.183643,30.58,1.42,61,2.33
2021-07-29T14:53:04.180000,55.223934,-161.039535,16.06,1.73,63,13.49
2021-07-29T15:13:48.720000,55.159062,-160.897038,13.03,1.96,67,6.58
2021-07-29T15:30:22.340000,55.216748,-161.388607,15.66,1.72,68,19.53
2021-07-29T16:09:42.460000,55.295459,-160.860042,46.34,3.21,71,9.85
2021-07-29T17:04:04.840000,55.246012,-161.728451,13.08,1.53,74,2.78
2021-07-29T17:23:00.580000,55.214555,-161.396875,12.88,1.54,76,10.39
2021-07-29T17:33:13.280000,55.249052,-161.718245,9.35,1.41,78,4.58
2021-07-29T08:40:45.070000,55.252771,-160.646191,42.24,2.67,8,10.48
2021-07-29T17:52:14.100000,55.286125,-161.113395,47.86,1.7,80,4.62
2021-07-29T18:14:38.840000,55.230326,-161.61613,10.54,1.52,81,24.84
2021-07-29T18:38:15.120000,55.206974,-161.117301,21.36,1.74,83,9.27
2021-07-29T18:46:52.160000,55.254049,-161.065918,31.98,1.53,84,3.08
2021-07-29T19:12:08.160000,55.256868,-161.315316,14.21,2.05,86,38.61
2021-07-29T20:21:47.600000,55.32194,-161.171517,38.16,1.73,89,12.15
2021-07-29T08:55:58.340000,55.088489,-161.609961,14.83,2.15,9,32.93
2021-07-29T20:23:39.700000,55.274223,-161.679915,13.55,1.71,90,11.11
2021-07-29T20:25:41.780000,55.249821,-161.037012,31.31,1.56,91,3.21
2021-07-29T20:31:08.540000,55.25887,-161.169157,22.73,2.67,92,16.11
2021-07-29T20:33:15.760000,55.204207,-160.812077,15.81,3.52,93,6.07
2021-07-29T21:00:35.940000,55.243697,-161.558577,14.12,3.02,95,138.93
2021-07-29T21:08:25.420000,55.285327,-160.779134,37.65,2.01,96,4.31
2021-07-29T21:18:25.360000,55.253271,-160.903516,28.95,2.09,97,2.24
2021-07-29T21:39:48.840000,55.258142,-161.136751,26.16,2.47,98,15.75
