time,latitude,longitude,depth_km,magnitude,event_id,pc_ratio_energy,FI
2021-07-29 23:38:45.560000+00:00,55.275187,-160.801123,38.87,2.26,102,5.33,NS
2021-07-29 09:17:38.700000+00:00,55.305945,-160.990641,42.75,2.17,12,5.44,NS
2021-07-29 09:23:24.100000+00:00,55.285429,-160.919629,39.37,2.0,13,5.22,NS
2021-07-29 09:43:51.900000+00:00,55.092546,-161.474805,19.77,1.37,18,10.15,NS
2021-07-29 09:52:54.660000+00:00,55.277881,-161.239323,21.15,2.17,20,8.64,VT
2021-07-29 09:54:14.120000+00:00,55.320915,-160.988542,44.39,2.82,21,5.7,NS
2021-07-29 10:02:12.820000+00:00,55.093404,-161.413151,19.39,1.76,23,12.81,NS
2021-07-29 10:13:56.620000+00:00,55.398055,-161.70236,49.01,1.67,26,11.79,NS
2021-07-29 10:17:54.180000+00:00,55.216728,-161.395866,14.68,1.83,28,10.66,VT
2021-07-29 10:22:54.430000+00:00,55.338493,-161.498535,21.92,1.35,30,26.15,VT
2021-07-29 10:54:36.420000+00:00,55.26484,-161.393262,18.69,1.33,36,29.87,NS
2021-07-29 11:05:32.860000+00:00,55.200989,-161.650228,16.0,1.95,38,20.47,VT
2021-07-29 11:29:52.040000+00:00,55.258146,-161.129574,25.58,1.78,42,7.39,VT
2021-07-29 11:42:01.860000+00:00,55.221029,-161.042106,11.11,1.8,43,9.28,VT
2021-07-29 11:48:29.020000+00:00,55.288794,-161.63151,19.98,1.47,44,27.38,LP
2021-07-29 12:18:30.620000+00:00,55.2644,-161.441227,24.97,1.54,46,10.21,NS
2021-07-29 08:16:24.180000+00:00,55.283541,-161.301204,25.26,2.56,5,7.75,VT
2021-07-29 12:43:18.720000+00:00,55.276363,-161.396159,21.75,2.46,50,12.75,VT
2021-07-29 13:15:20.480000+00:00,55.259517,-161.252799,31.06,1.95,53,15.14,VT
2021-07-29 13:30:56.160000+00:00,55.211995,-160.980029,10.47,1.84,55,5.4,VT
2021-07-29 13:48:44.620000+00:00,55.250871,-161.140039,30.96,1.7,56,8.08,VT
2021-07-29 14:53:04.330000+00:00,55.237809,-161.045915,18.41,1.73,63,12.27,VT
2021-07-29 15:13:50.570000+00:00,55.222823,-161.143538,1.13,1.96,67,8.54,VT
2021-07-29 15:30:22.330000+00:00,55.223018,-161.382275,19.05,1.72,68,10.36,VT
2021-07-29 16:09:42.560000+00:00,55.219194,-160.819515,16.64,3.21,71,12.44,LP
2021-07-29 17:23:00.100000+00:00,55.218538,-161.332568,17.33,1.54,76,7.76,VT
2021-07-29 17:33:07.360000+00:00,55.218433,-161.051546,23.65,1.41,78,7.79,NS
2021-07-29 08:40:47.700000+00:00,55.267171,-160.95734,35.35,2.67,8,11.32,NS
2021-07-29 17:52:11.340000+00:00,55.232682,-160.7257,36.8,1.7,80,5.04,NS
2021-07-29 18:14:38.820000+00:00,55.228141,-161.609847,11.04,1.52,81,22.78,VT
2021-07-29 18:17:43.200000+00:00,55.148433,-161.212077,13.21,1.04,82,6.36,NS
2021-07-29 18:38:15.040000+00:00,55.214095,-161.110856,35.21,1.74,83,5.95,VT
2021-07-29 19:12:08.200000+00:00,55.28394,-161.322298,22.14,2.05,86,31.52,LP
2021-07-29 20:23:39.700000+00:00,55.277124,-161.673649,13.77,1.71,90,10.45,VT
2021-07-29 20:33:15.920000+00:00,55.197424,-160.82762,15.64,3.52,93,5.82,NS
2021-07-29 21:00:32.860000+00:00,55.204675,-161.223958,13.14,3.02,95,177.0,VT
2021-07-29 21:39:49.160000+00:00,55.24257,-161.179883,15.4,2.47,98,37.09,VT
