time,latitude,longitude,depth_km,magnitude,event_id,pc_ratio_energy
2021-07-29T09:45:16.730000,55.293689,-161.113688,11.46,1.99,19,1.51
2021-07-29T08:03:27.550000,55.411906,-161.849902,50.98,2.55,2,3.45
2021-07-29T10:16:29.770000,55.190104,-161.534147,14.91,1.67,27,4.17
2021-07-29T10:27:26.720000,55.190063,-160.827897,39.34,2.09,32,3.3
2021-07-29T10:38:28.720000,55.286283,-160.714746,42.77,1.81,33,4.27
2021-07-29T10:42:52.110000,55.303446,-161.488232,14.25,1.23,34,1.48
2021-07-29T13:18:29.800000,55.297656,-160.957943,29.09,2.32,54,2.25
2021-07-29T14:16:32.710000,55.203613,-161.052572,7.85,1.72,59,1.71
2021-07-29T14:49:59.580000,55.301746,-161.463151,19.84,1.47,62,2.23
2021-07-29T14:57:03.320000,55.298482,-161.53125,20.28,0.76,64,1.5
2021-07-29T14:58:35.880000,55.444906,-161.240023,21.91,1.55,65,3.84
2021-07-29T08:26:00.930000,55.234049,-160.967936,16.94,2.6,7,1.95
2021-07-29T16:08:44.350000,55.263326,-160.982194,17.78,1.57,70,1.72
2021-07-29T18:46:52.280000,55.251538,-161.080029,31.91,1.53,84,3.01
2021-07-29T19:30:34.500000,55.432922,-161.179525,22.97,1.71,87,2.97
2021-07-29T20:25:42.000000,55.253923,-161.039355,24.61,1.56,91,3.37
2021-07-29T21:08:25.420000,55.285409,-160.779167,37.64,2.01,96,4.3
2021-07-29T21:18:25.560000,55.249898,-160.932829,30.59,2.09,97,2.3
2021-07-29T22:02:22.060000,55.253524,-160.96932,23.79,1.5,99,1.25
