time,latitude,longitude,depth_km,magnitude,event_id
2021-07-29T09:08:20.310000,55.13606,-161.006738,35.73,2.1,11
2021-07-29T09:17:38.040000,55.311995,-160.972233,40.97,2.12,12
2021-07-29T09:23:22.880000,55.261951,-160.848958,39.88,1.97,13
2021-07-29T09:28:54.540000,55.27369,-161.312923,18.52,2.5,15
2021-07-29T09:43:53.380000,55.085404,-161.641536,12.54,1.37,18
2021-07-29T08:03:26.930000,55.410343,-161.841325,49.23,2.54,2
2021-07-29T09:52:54.070000,55.284725,-161.255176,25.97,2.17,20
2021-07-29T09:54:13.220000,55.317289,-160.952653,44.08,2.85,21
2021-07-29T10:02:12.400000,55.07922,-161.381055,17.02,1.73,23
2021-07-29T10:13:56.110000,55.398214,-161.697607,46.32,1.67,26
2021-07-29T10:16:29.700000,55.185229,-161.498714,8.31,1.98,27
2021-07-29T10:17:54.180000,55.210181,-161.364193,7.86,1.8,28
2021-07-29T10:27:25.940000,55.188151,-160.814404,40.03,2.13,32
2021-07-29T10:38:27.890000,55.285181,-160.696973,43.51,1.82,33
2021-07-29T10:54:34.540000,55.345007,-161.289062,27.37,1.33,37
2021-07-29T11:05:26.420000,55.225301,-161.022803,35.86,2.03,39
2021-07-29T11:29:52.470000,55.262569,-161.231364,22.14,1.71,43
2021-07-29T11:42:03.340000,55.257397,-161.168669,13.16,1.81,44
2021-07-29T11:48:29.390000,55.287862,-161.695215,14.81,1.37,45
2021-07-29T12:18:30.230000,55.263456,-161.442399,23.44,1.54,47
2021-07-29T12:28:50.210000,55.204757,-160.940609,37.57,2.15,49
2021-07-29T08:16:23.630000,55.285636,-161.316227,26.71,2.56,5
2021-07-29T12:43:18.300000,55.272957,-161.376465,20.0,2.46,51
2021-07-29T13:15:20.670000,55.282926,-161.347559,28.52,1.91,54
2021-07-29T13:18:29.120000,55.297416,-160.955013,31.38,2.32,55
2021-07-29T13:30:55.300000,55.264929,-160.891732,26.28,1.84,56
2021-07-29T13:48:44.030000,55.252039,-161.14152,30.46,1.67,57
2021-07-29T16:08:42.960000,55.248539,-160.890804,27.09,1.57,62
2021-07-29T16:09:41.750000,55.311283,-160.862386,46.8,3.21,63
2021-07-29T16:38:34.840000,55.233777,-161.54554,21.17,1.46,64
2021-07-29T17:00:24.120000,55.262309,-161.222445,27.94,2.13,65
2021-07-29T17:04:04.780000,55.245121,-161.716162,9.49,1.53,66
2021-07-29T17:23:00.200000,55.214836,-161.336068,11.73,1.6,68
2021-07-29T17:33:06.720000,55.220312,-161.057227,27.32,1.41,69
2021-07-29T08:26:00.040000,55.213289,-160.931348,24.94,2.56,7
2021-07-29T17:52:10.500000,55.248185,-160.72417,42.48,1.76,71
2021-07-29T18:14:39.000000,55.221594,-161.588477,2.78,1.34,72
2021-07-29T18:17:45.480000,55.094462,-161.453158,15.68,1.05,73
2021-07-29T18:38:12.480000,55.178544,-160.887256,27.23,1.85,74
2021-07-29T18:46:50.320000,55.25577,-160.922233,36.13,1.56,75
2021-07-29T19:12:07.840000,55.286255,-161.335286,22.86,2.05,76
2021-07-29T19:53:30.760000,55.272054,-160.88387,27.22,1.79,78
2021-07-29T08:40:45.560000,55.268486,-160.799268,42.84,2.7,8
2021-07-29T20:23:39.080000,55.244971,-161.637386,11.21,1.78,80
2021-07-29T20:25:45.000000,55.253479,-161.377393,13.01,1.56,81
2021-07-29T20:31:07.880000,55.259644,-161.162223,26.12,2.48,82
2021-07-29T20:42:34.660000,55.13348,-161.739404,14.24,0.97,84
2021-07-29T21:00:32.460000,55.2026,-161.161898,11.37,2.88,85
2021-07-29T21:39:48.320000,55.249516,-161.132292,26.07,2.49,87
2021-07-29T22:02:20.380000,55.196431,-160.878402,26.68,1.46,88
