event_id,time,best_v_km_s,peak_energy,peak_percentile_rank,noise_percentile,noise_energy,signal_percentile,signal_ref_energy,Percentile_energy_ratio,winlen_s,num_stations,min_valid_stations_per_v,min_total_stations,n_files
102,2021-07-29 23:38:44.800000+00:00,2.442953020134228,394796732.17820835,100.0,50.0,39974934.49787024,90.0,215521505.59365347,5.391416103637041,1.0,11,3,3,2
11,2021-07-29 09:08:20.310000+00:00,3.6912751677852347,111344584.55964902,100.0,50.0,31336955.367228054,90.0,81601181.35557754,2.603992008774261,1.0,10,3,3,2
12,2021-07-29 09:17:37.990000+00:00,3.771812080536913,203178325.44073653,100.0,50.0,7042741.596610049,90.0,41733457.26470435,5.9257402379766875,1.0,10,3,3,2
13,2021-07-29 09:23:23.330000+00:00,2.4832214765100673,41149136.61167145,100.0,50.0,5844801.265282826,90.0,26048022.590493597,4.456613904943978,1.0,11,3,3,2
18,2021-07-29 09:43:53.380000+00:00,2.3624161073825505,11385445.94454453,100.0,50.0,746975.3687873852,90.0,6144430.016669979,8.225746488327509,1.0,7,3,3,2
2,2021-07-29 08:03:26.930000+00:00,3.2885906040268456,1004118249.6430689,100.0,50.0,151558033.81539518,90.0,535707059.6187647,3.5346662010097143,1.0,9,3,3,2
20,2021-07-29 09:52:54.070000+00:00,3.248322147651007,374100741.57307446,100.0,50.0,50855140.973498836,90.0,258454376.87894243,5.082168133475941,1.0,10,3,3,2
21,2021-07-29 09:54:13.220000+00:00,2.1610738255033555,1983469427.2845826,100.0,50.0,156138199.36385137,90.0,967167296.9185398,6.19430287308959,1.0,11,3,3,2
23,2021-07-29 10:02:12.400000+00:00,2.966442953020134,353443647.0826414,100.0,50.0,14016275.307606962,90.0,124295289.69451453,8.867925819568953,1.0,8,3,3,2
26,2021-07-29 10:13:56.110000+00:00,2.604026845637584,13989971.129596839,100.0,50.0,917674.6538619532,90.0,7545311.474414776,8.222207557614233,1.0,6,3,3,2
27,2021-07-29 10:16:29.700000+00:00,2.8859060402684564,71895728.07438517,100.0,50.0,22196171.304750703,90.0,51157583.92366942,2.3047931655095866,1.0,9,3,3,2
28,2021-07-29 10:17:54.180000+00:00,2.4832214765100673,46575150.92522143,100.0,50.0,4760503.164081978,90.0,32335238.00643989,6.792399225865332,1.0,10,3,3,2
32,2021-07-29 10:27:25.940000+00:00,2.563758389261745,68559534.50914004,100.0,50.0,10405282.670106612,90.0,38069167.3189184,3.658638455665169,1.0,11,3,3,2
33,2021-07-29 10:38:27.890000+00:00,3.8120805369127515,33471330.746164467,100.0,50.0,3952800.225889538,90.0,16092280.004049571,4.071108855603287,1.0,11,3,3,2
36,2021-07-29 10:54:34.540000+00:00,2.7651006711409396,18068176.079761874,100.0,50.0,352018.4071000328,90.0,9007687.353712307,25.58868278485392,1.0,8,3,3,2
38,2021-07-29 11:05:32.900000+00:00,2.0,72726585.29065438,100.0,50.0,2801789.2219760176,90.0,37501883.51132778,13.384976720296908,1.0,11,3,3,2
44,2021-07-29 11:48:28.910000+00:00,2.0,87794355.21897893,100.0,50.0,1833037.369122826,90.0,45744459.331097975,24.95555197163729,1.0,9,3,3,2
46,2021-07-29 12:18:30.230000+00:00,2.8053691275167782,41614356.76663914,100.0,50.0,2379896.1014805045,90.0,22812512.94736267,9.585507927497877,1.0,8,3,3,2
48,2021-07-29 12:28:50.210000+00:00,3.8926174496644297,217877355.65229946,100.0,50.0,12816113.68996916,90.0,114259893.81595255,8.915330854577299,1.0,10,3,3,2
