event_id,time,best_v_km_s,snr_peak_over_baseline_pctl,peak_energy,baseline_energy,noise_percentile,pctl_low,energy_pctl_low,pctl_high,energy_pctl_high,qc_ratio_pctl_high_over_low,peak_percentile_rank,freqmin,freqmax,num_stations,min_valid_stations_per_v,n_files
2,2021-07-29 08:03:26.930000+00:00,3.0067114093959733,16.6333641206145,1022321567.7984366,61462104.74232485,50.0,25.0,6299362.4453460155,75.0,271935221.6585698,43.16868953293459,100.0,1.0,15.0,9,4,2
9,2021-07-29 08:16:23.630000+00:00,2.4832214765100673,12.489666107184638,1075465865.8555415,86108456.1129207,50.0,25.0,12005372.597221222,75.0,313147871.8474897,26.083977761754042,100.0,1.0,15.0,10,4,2
11,2021-07-29 08:26:00.040000+00:00,2.3624161073825505,4.05866233665756,15620162.07679657,3848598.572913134,50.0,25.0,3266314.9440768557,75.0,5092098.273485618,1.5589734488768887,100.0,1.0,15.0,6,4,2
15,2021-07-29 08:40:45.560000+00:00,2.2416107382550337,21.585513303767183,865696539.5848469,40105441.43204425,50.0,25.0,9110508.216344079,75.0,260919711.79387474,28.639424453378982,100.0,1.0,15.0,11,4,2
19,2021-07-29 09:08:20.310000+00:00,3.530201342281879,4.870796879661216,114275422.01707037,23461340.07234945,50.0,25.0,1629139.199214813,75.0,49937411.87277273,30.652636617448515,100.0,1.0,15.0,10,4,2
20,2021-07-29 09:17:38.040000+00:00,3.610738255033557,35.90825512683424,201110642.03646237,5600679.880604179,50.0,25.0,1326210.875971972,75.0,21492703.22314743,16.206097848048152,100.0,1.0,15.0,10,4,2
21,2021-07-29 09:23:22.880000+00:00,2.4832214765100673,7.448349633483935,44456361.72729045,5968619.078706725,50.0,25.0,1525586.803171826,75.0,13031799.486854358,8.542155359341157,100.0,1.0,15.0,11,4,2
23,2021-07-29 09:28:54.540000+00:00,2.120805369127517,43.09668496091098,4095961046.823367,95041209.09852892,50.0,25.0,784124.8413913923,75.0,1280640143.9290977,1633.209504824082,100.0,1.0,15.0,10,4,2
28,2021-07-29 09:43:53.380000+00:00,2.2013422818791946,15.767283659389117,11232379.326524155,712385.1875294631,50.0,25.0,299071.8185588252,75.0,1345775.9692106238,4.49984213054805,100.0,1.0,15.0,7,4,2
30,2021-07-29 09:52:54.070000+00:00,3.087248322147651,8.649459935398319,371453349.1424983,42945265.01271,50.0,25.0,310249.49699444463,75.0,123252752.24989939,397.26978913395743,100.0,1.0,15.0,10,4,2
31,2021-07-29 09:54:13.220000+00:00,2.0805369127516777,13.2148669862618,1881571933.298746,142382964.22164762,50.0,25.0,28185254.444241084,75.0,634372078.5786688,22.507232632355606,100.0,1.0,15.0,11,4,2
34,2021-07-29 10:02:12.400000+00:00,2.8456375838926173,42.01691224216622,330939777.7171545,7876346.929297644,50.0,25.0,1288608.3817850803,75.0,81735796.00653265,63.429508267908275,100.0,1.0,15.0,8,4,2
38,2021-07-29 10:13:56.110000+00:00,2.3624161073825505,15.470332192456693,12931369.488256862,835881.8238280737,50.0,25.0,306122.5589371917,75.0,3063821.5441737883,10.008480115973434,100.0,1.0,15.0,6,4,2
39,2021-07-29 10:16:29.700000+00:00,2.7248322147651005,3.340844748881426,70269597.78340876,21033481.967977192,50.0,25.0,3039082.031161055,75.0,32534363.06914995,10.70532573177055,100.0,1.0,15.0,9,4,2
41,2021-07-29 10:17:54.180000+00:00,2.402684563758389,12.219001798785861,47432376.60961102,3881853.639985889,50.0,25.0,869011.4866489419,75.0,17820047.07494533,20.50611223064784,100.0,1.0,15.0,10,4,2
47,2021-07-29 10:27:25.940000+00:00,2.523489932885906,8.403496550183485,73906266.43792437,8794704.203967415,50.0,25.0,2478161.910322847,75.0,24198039.1911667,9.764510983067389,100.0,1.0,15.0,11,4,2
49,2021-07-29 10:38:27.890000+00:00,3.8120805369127515,8.167582673904283,30635499.73913865,3750864.9697566163,50.0,25.0,1126706.3765325006,75.0,10152447.407797683,9.01073040790129,100.0,1.0,15.0,11,4,2
53,2021-07-29 10:54:34.550000+00:00,2.604026845637584,54.512269385713736,18246141.40040449,334716.231887171,50.0,25.0,243176.80480723354,75.0,4487097.97780231,18.4519982543534,100.0,1.0,15.0,8,4,2
55,2021-07-29 11:05:26.420000+00:00,2.120805369127517,19.121471455387752,101319953.39492737,5298752.955875631,50.0,25.0,388667.40492668806,75.0,43034578.63267202,110.72340537738009,100.0,1.0,15.0,10,4,2
60,2021-07-29 11:29:52.470000+00:00,3.771812080536913,45.881391284179145,277518640.61900896,6048609.966949785,50.0,25.0,188365.08986107705,75.0,120045801.12271032,637.3038720245161,100.0,1.0,15.0,10,4,2
