event_id,time,best_v_km_s,peak_energy,peak_percentile_rank,noise_percentile,noise_energy,signal_percentile,signal_ref_energy,snr_percentile_ratio,freqmin,freqmax,num_stations,min_valid_stations_per_v,n_files
102,2021-07-29 17:33:06.720000+00:00,3.1677852348993287,6583566.865132938,100.0,25.0,131640.98140794807,75.0,2188016.6479136697,16.621090366480388,1.0,15.0,9,4,2
104,2021-07-29 17:52:10.500000+00:00,2.604026845637584,13401397.432627888,100.0,25.0,406625.91135331715,75.0,4297233.516269586,10.568026769291938,1.0,15.0,10,4,2
105,2021-07-29 18:14:39+00:00,2.040268456375839,27867942.10447058,100.0,25.0,157587.97523345565,75.0,7330954.856566739,46.51976044305689,1.0,15.0,10,4,2
106,2021-07-29 18:17:45.480000+00:00,2.120805369127517,8040835.072585634,100.0,25.0,229223.30012363242,75.0,2307788.7765982123,10.067862976204854,1.0,15.0,6,4,2
108,2021-07-29 18:38:12.480000+00:00,3.4093959731543624,48286316.19202956,100.0,25.0,174555.52223588363,75.0,11092708.507427033,63.54831039053022,1.0,15.0,10,4,2
11,2021-07-29 08:26:00.040000+00:00,2.3624161073825505,15620162.07679657,100.0,25.0,3266314.9440768557,75.0,5092098.273485618,1.5589734488768887,1.0,15.0,6,4,2
111,2021-07-29 18:46:50.320000+00:00,2.402684563758389,2560955.60979117,100.0,25.0,141118.06540756085,75.0,676215.5698566838,4.791842687920334,1.0,15.0,7,4,2
114,2021-07-29 19:12:07.840000+00:00,2.4832214765100673,833560685.9929955,100.0,25.0,171407.53819990624,75.0,59209189.561386034,345.4293211558325,1.0,15.0,10,4,2
119,2021-07-29 19:53:30.760000+00:00,2.2818791946308723,16562200.544916708,100.0,25.0,210796.1439090423,75.0,6882781.592101665,32.651363845970344,1.0,15.0,11,4,2
121,2021-07-29 20:23:39.080000+00:00,2.3221476510067114,13647461.290022116,100.0,25.0,413608.2439126736,75.0,7085439.811133699,17.130799289942754,1.0,15.0,10,4,2
122,2021-07-29 20:25:45+00:00,2.1610738255033555,8322203.575219069,100.0,25.0,213750.02953422934,75.0,1545806.9940112713,7.2318445867804195,1.0,15.0,9,4,2
123,2021-07-29 20:31:07.880000+00:00,2.7248322147651005,1281562283.238061,100.0,25.0,7345238.33400667,75.0,315248801.40201247,42.918798147432064,1.0,15.0,11,4,2
125,2021-07-29 20:42:34.660000+00:00,2.966442953020134,4919874.299759963,100.0,25.0,251121.92681461165,75.0,3391157.463902933,13.50402773233905,1.0,15.0,6,4,2
126,2021-07-29 21:00:32.460000+00:00,2.8053691275167782,14714798744.426172,100.0,25.0,414989.936349935,75.0,1978612900.4844837,4767.857548275685,1.0,15.0,10,4,2
130,2021-07-29 21:39:48.320000+00:00,2.6442953020134228,1515480219.1696222,100.0,25.0,852802.8106747133,75.0,456523119.5869311,535.3208430747818,1.0,15.0,10,4,2
132,2021-07-29 22:02:20.380000+00:00,2.2013422818791946,307652.6138487279,100.0,25.0,74002.24789474507,75.0,186148.36505344702,2.5154420351961426,1.0,15.0,7,4,2
15,2021-07-29 08:40:45.560000+00:00,2.2416107382550337,865696539.5848469,100.0,25.0,9110508.216344079,75.0,260919711.79387474,28.639424453378982,1.0,15.0,11,4,2
19,2021-07-29 09:08:20.310000+00:00,3.530201342281879,114275422.01707037,100.0,25.0,1629139.199214813,75.0,49937411.87277273,30.652636617448515,1.0,15.0,10,4,2
2,2021-07-29 08:03:26.930000+00:00,3.0067114093959733,1022321567.7984366,100.0,25.0,6299362.4453460155,75.0,271935221.6585698,43.16868953293459,1.0,15.0,9,4,2
20,2021-07-29 09:17:38.040000+00:00,3.610738255033557,201110642.03646237,100.0,25.0,1326210.875971972,75.0,21492703.22314743,16.206097848048152,1.0,15.0,10,4,2
21,2021-07-29 09:23:22.880000+00:00,2.4832214765100673,44456361.72729045,100.0,25.0,1525586.803171826,75.0,13031799.486854358,8.542155359341157,1.0,15.0,11,4,2
23,2021-07-29 09:28:54.540000+00:00,2.120805369127517,4095961046.823367,100.0,25.0,784124.8413913923,75.0,1280640143.9290977,1633.209504824082,1.0,15.0,10,4,2
28,2021-07-29 09:43:53.380000+00:00,2.2013422818791946,11232379.326524155,100.0,25.0,299071.8185588252,75.0,1345775.9692106238,4.49984213054805,1.0,15.0,7,4,2
30,2021-07-29 09:52:54.070000+00:00,3.087248322147651,371453349.1424983,100.0,25.0,310249.49699444463,75.0,123252752.24989939,397.26978913395743,1.0,15.0,10,4,2
31,2021-07-29 09:54:13.220000+00:00,2.0805369127516777,1881571933.298746,100.0,25.0,28185254.444241084,75.0,634372078.5786688,22.507232632355606,1.0,15.0,11,4,2
34,2021-07-29 10:02:12.400000+00:00,2.8456375838926173,330939777.7171545,100.0,25.0,1288608.3817850803,75.0,81735796.00653265,63.429508267908275,1.0,15.0,8,4,2
38,2021-07-29 10:13:56.110000+00:00,2.3624161073825505,12931369.488256862,100.0,25.0,306122.5589371917,75.0,3063821.5441737883,10.008480115973434,1.0,15.0,6,4,2
39,2021-07-29 10:16:29.700000+00:00,2.7248322147651005,70269597.78340876,100.0,25.0,3039082.031161055,75.0,32534363.06914995,10.70532573177055,1.0,15.0,9,4,2
41,2021-07-29 10:17:54.180000+00:00,2.402684563758389,47432376.60961102,100.0,25.0,869011.4866489419,75.0,17820047.07494533,20.50611223064784,1.0,15.0,10,4,2
