time,latitude,longitude,depth_km,mag,event_id,r_km
2023-01-01 19:02:43+00:00,56.855,-158.0776666667,6.73,0.51,av91082823,9.80374075043998
2023-01-01 19:05:52+00:00,56.8133333333,-158.0935,10.62,0.82,av91082833,12.476595848561047
2023-01-02 08:43:42+00:00,56.857,-158.0753333333,6.81,0.39,av91082573,9.79479134888361
2023-01-02 21:22:46+00:00,56.8681666667,-158.191,-3.2,1.31,av91082713,4.332020871287554
2023-01-04 07:17:23+00:00,56.8498333333,-158.0643333333,6.37,1.08,av91083133,10.800137081898475
2023-01-04 11:34:36+00:00,56.9095,-158.122,5.86,0.61,av91083143,5.316259874202907
2023-01-11 20:50:52+00:00,56.8755,-158.1893333333,0.84,0.0,av91084083,3.580741502069515
2023-01-20 09:26:30+00:00,56.8823333333,-158.1618333333,5.89,1.72,av91085128,3.8848315752989406
2023-01-27 06:11:02+00:00,56.8716666667,-158.2071666667,2.4,0.07,av91085858,3.802657961445066
2023-01-31 08:23:45+00:00,56.8991666667,-158.0288333333,2.8,0.68,av91086258,11.00256540670095
2023-01-31 09:00:01+00:00,56.8781666667,-158.1811666667,2.99,0.43,av91086268,3.513807554985589
2023-01-31 11:36:29+00:00,56.9198333333,-158.026,2.72,-0.08,av91086303,11.25630548133945
2023-01-31 11:39:51+00:00,56.9171666667,-158.0651666667,4.82,0.88,av91086308,8.852764398780467
2023-01-31 13:44:46+00:00,56.9385,-158.0901666667,6.75,-0.59,av91086323,8.101339588479913
2023-02-01 01:44:07+00:00,56.8626666667,-158.2325,0.25,-0.02,av91086378,5.012317515874491
2023-02-01 04:44:27+00:00,56.8648333333,-158.2028333333,2.23,0.81,av91086388,4.5774204515784085
2023-02-01 07:13:58+00:00,56.8491666667,-158.043,12.33,0.28,av91086418,11.925328843438669
2023-02-01 08:57:44+00:00,56.9093333333,-158.089,2.32,0.4,av91086443,7.321312606313002
2023-02-01 12:39:27+00:00,56.8461666667,-158.1846666667,3.27,0.42,av91086463,6.8043603367846375
2023-02-01 12:41:44+00:00,56.8703333333,-158.1938333333,3.42,0.05,av91086478,4.056247977357905
2023-02-01 14:55:36+00:00,56.9216666667,-158.058,5.39,0.17,av91086493,9.365991070127912
2023-02-01 17:22:08+00:00,56.8775,-158.1678333333,3.28,-0.32,av91086508,4.028257764413569
