event_id,event_time,event_lat,event_lon,event_depth_km,r_km,fi,fi_std,fi_n_stations,fi_snr_mean,fi_class
2,2021-07-29 08:03:26.930000+00:00,55.410327,-161.841406,54.23,3.4017445994697826,-0.8307704333851496,0.0019654288531760766,2,11.335951087558865,LP
20,2021-07-29 09:52:54.070000+00:00,55.284766,-161.255208,30.96,43.105974802075224,-0.3420544955211724,0.19160707116399717,4,7.241494699281025,VT
27,2021-07-29 10:16:29.700000+00:00,55.185234,-161.498763,13.31,36.009421947404974,-0.4728868853748884,0.0341521480229206,2,7.279378225956744,VT
28,2021-07-29 10:17:54.180000+00:00,55.210168,-161.364176,12.87,40.76945426488073,-0.1397312023378981,0.16124639516050615,2,4.391180218751002,VT
38,2021-07-29 11:05:32.900000+00:00,55.198376,-161.6507,16.67,28.846966781474727,-0.24268317935255676,0.05425418679202029,2,6.255130110442096,VT
44,2021-07-29 11:48:28.910000+00:00,55.288521,-161.615674,21.01,22.72793740082946,-0.565141408907776,0.10314825222472146,2,6.937214950411209,VT
46,2021-07-29 12:18:30.230000+00:00,55.263558,-161.442367,28.45,33.362639453658325,-0.34028386767509156,0.11657897611115865,2,6.523066925622186,VT
5,2021-07-29 08:16:23.630000+00:00,55.285697,-161.316292,31.7,39.448539572862984,-0.6509943767769193,0.154416842969983,2,3.203913870827427,VT
50,2021-07-29 12:43:18.300000+00:00,55.273063,-161.376546,23.46,36.52874440106993,-0.37820464660970493,0.3175064949370963,6,12.28532835588762,VT
53,2021-07-29 13:15:20.700000+00:00,55.281213,-161.351807,33.34,37.56654879833789,-0.4938957670209506,0.036505314292912705,2,7.019462948519411,VT
56,2021-07-29 13:48:44.020000+00:00,55.251705,-161.143392,35.8,51.05908462683222,-0.21236623931481943,0.03671833671014907,2,3.45695316562599,VT
63,2021-07-29 14:53:03.640000+00:00,55.233752,-161.034245,30.97,58.254889305689176,-0.21471646240213432,0.0057516032288191105,2,2.786610998971078,VT
68,2021-07-29 15:30:21.950000+00:00,55.204598,-161.337728,23.87,42.50933602031905,-0.3401571220910012,0.09193211951763028,3,8.917086272009959,VT
73,2021-07-29 17:00:24.120000+00:00,55.26248,-161.222559,32.92,45.94088136779129,-0.9039775221345826,0.10325802197499401,2,5.750527708419968,LP
76,2021-07-29 17:23:00.200000+00:00,55.21484,-161.336084,16.73,41.96906754238448,-0.48159793446509824,0.1818769456771303,2,3.0155359523812835,VT
81,2021-07-29 18:14:38.920000+00:00,55.222062,-161.585921,8.84,29.226986784141307,-0.42068682438965754,0.1589881203269868,2,5.3583815073821075,VT
83,2021-07-29 18:38:14.600000+00:00,55.211532,-161.144645,32.78,52.78871597738352,-0.13620958287825197,0.005162766598032761,2,4.069090354486577,VT
86,2021-07-29 19:12:07.840000+00:00,55.286328,-161.335335,27.85,38.302559762404364,-0.8472933067021656,0.20266110912790933,3,8.814988887625143,LP
9,2021-07-29 08:55:58.050000+00:00,55.07039,-161.579036,16.14,43.49862851302553,-0.6854010534694697,0.04016199564491635,2,3.860897963906485,VT
90,2021-07-29 20:23:39.940000+00:00,55.276298,-161.666764,12.4,21.30006906530658,-0.4827305122537784,0.08767429162764032,2,3.9570146311556327,VT
92,2021-07-29 20:31:08.340000+00:00,55.26285,-161.199447,28.82,47.28825603921546,-0.6183876280695673,0.21468196933323425,4,10.673110356708104,VT
95,2021-07-29 21:00:34.020000+00:00,55.216943,-161.349691,20.14,41.11468937340395,-0.37553722095063435,0.2492479906981866,9,15.915341041830873,VT
98,2021-07-29 21:39:48.320000+00:00,55.249642,-161.132373,31.05,51.795281494243,-0.5995279500560698,0.17000295761572745,3,11.319111012491954,VT
