time,latitude,longitude,depth_km,mag,event_id,r_km
2021-02-08 22:12:30.960000+00:00,56.877283,-158.137077,3.14,1.4,22,5.41299952903264
2021-02-23 20:07:48.560000+00:00,56.895695,-158.215658,15.23,1.13,31,1.1961735891494463
2021-02-28 18:02:46.280000+00:00,56.877234,-158.135465,4.54,1.96,36,5.496026444106382
2021-03-03 02:43:22.840000+00:00,56.89856,-158.167676,8.96,1.34,37,2.6438624642184525
2021-03-04 01:32:44.090000+00:00,56.895882,-158.208659,6.74,1.64,41,1.1046450515213073
2021-03-06 01:48:42.130000+00:00,56.881026,-158.13807,6.38,1.51,45,5.12817970474612
2021-03-07 19:26:48.640000+00:00,56.886682,-158.1868,10.48,1.57,48,2.52244345612016
2021-04-02 02:45:15.960000+00:00,56.887272,-158.254655,18.38,-0.45,72,3.463794912396376
2021-04-03 23:50:47.320000+00:00,56.880709,-158.141585,2.12,1.24,74,4.968716530351936
2021-04-07 02:59:06.550000+00:00,56.876009,-158.17679,24.86,-0.18,76,3.8548288159769677
2021-04-14 23:05:36.020000+00:00,56.883407,-158.14113,3.27,1.39,78,4.829792034447189
2021-04-16 00:26:20.760000+00:00,56.899825,-158.437679,4.86,1.35,84,13.949400386657402
2021-05-04 12:51:07.280000+00:00,56.93477,-158.122412,3.66,1.37,89,6.181912114604949
2021-05-04 12:53:02.880000+00:00,56.890869,-158.202425,10.7,1.56,90,1.7102811595635448
2021-07-14 18:15:58.880000+00:00,56.812854,-158.123617,15.12,0.87,109,11.586855306860276
2021-07-27 14:26:10.970000+00:00,56.888298,-158.059456,5.52,0.63,121,9.31927385216374
2021-07-29 08:14:09.250000+00:00,56.816085,-158.036491,11.15,1.07,136,14.509932539088883
2021-07-29 08:25:18.590000+00:00,56.76807,-158.099414,4.68,0.7,138,16.732317110546152
2021-07-29 09:03:26.600000+00:00,56.814925,-158.143018,31.87,0.8,144,10.890634989222109
2021-07-29 16:26:39.710000+00:00,56.764612,-158.051758,2.01,0.67,188,18.420459440251243
2021-07-29 16:28:59.360000+00:00,56.788546,-158.108577,0.94,0.03,189,14.423534664368539
2021-07-29 17:27:23.980000+00:00,56.784623,-158.035693,4.76,0.46,193,17.144556802419583
2021-07-29 22:13:19.680000+00:00,56.764978,-158.105094,19.85,0.72,209,16.91555698995909
2021-07-30 05:25:38.660000+00:00,56.824736,-158.050472,10.11,1.09,217,13.22782284471848
2021-08-05 03:04:20.560000+00:00,56.895105,-158.101628,4.27,0.71,264,6.650157955324605
2021-08-17 17:55:18.320000+00:00,56.92065,-158.158512,21.0,-0.22,290,3.491809857316999
2021-09-11 10:03:42.900000+00:00,56.747795,-158.246305,5.2,0.18,320,17.74173018931501
2021-09-14 20:10:54.560000+00:00,56.876717,-158.187679,6.42,0.17,322,3.489609944574686
2021-09-29 15:34:42.130000+00:00,56.956543,-158.008936,20.4,1.01,325,13.427617102748195
