time,latitude,longitude,depth_km,mag,event_id,r_km
2021-01-02 05:45:30.100000+00:00,55.240963,-161.902344,46.95,1.42,31,19.639188448540036
2021-01-03 17:22:38.620000+00:00,55.320451,-161.877311,15.58,0.27,78,10.832188367870527
2021-01-04 00:38:00.280000+00:00,55.376021,-161.845801,3.44,0.35,93,5.5073253529151325
2021-01-04 19:00:05.200000+00:00,55.270284,-161.786768,2.78,1.47,123,17.71765185725331
2021-01-08 00:22:39.330000+00:00,55.241447,-161.860612,12.53,0.83,176,19.689952987992857
2021-01-08 02:34:16.530000+00:00,55.330046,-161.717952,4.76,0.93,184,14.782011136836823
2021-01-08 17:02:48.560000+00:00,55.299951,-161.695915,46.76,1.67,197,18.1116104971668
2021-01-08 21:38:15.240000+00:00,55.320793,-161.894206,14.69,0.3,200,10.744202210818589
2021-01-09 07:32:36.990000+00:00,55.446102,-161.794857,4.73,0.49,213,7.031044429167002
2021-01-09 10:54:22.880000+00:00,55.438066,-161.882975,5.44,0.48,227,2.4095603387523847
2021-01-09 13:17:23.430000+00:00,55.510262,-161.763688,31.21,1.8,231,13.219129624389792
2021-01-09 18:11:29.840000+00:00,55.327808,-161.934163,26.14,2.04,239,10.288144070267096
2021-01-09 18:34:52+00:00,55.375842,-161.71984,6.41,0.96,242,11.943860535978002
2021-01-11 13:50:50.930000+00:00,55.345504,-161.713656,2.75,0.48,270,13.932973985518409
2021-01-13 11:23:12.090000+00:00,55.308187,-161.994043,9.4,0.08,307,13.713314916947715
2021-01-15 06:07:10.060000+00:00,55.30306,-161.678092,4.96,0.72,408,18.67426154130452
2021-01-15 15:49:24.810000+00:00,55.281901,-161.894206,19.35,1.84,413,15.07399865305218
2021-01-15 21:12:38.360000+00:00,55.518636,-161.823584,9.48,0.93,421,12.122228383141035
2021-01-16 11:17:18.070000+00:00,55.345516,-161.709245,4.16,0.73,431,14.162136191608983
2021-01-16 20:41:47.240000+00:00,55.290344,-161.738949,2.89,2.68,435,17.208148439289108
2021-01-18 06:44:23.170000+00:00,55.456108,-161.623633,14.69,0.79,453,17.632022481545036
2021-01-22 09:44:33.810000+00:00,55.516797,-161.671875,30.04,1.53,527,17.875922618906312
2021-01-23 02:36:00.040000+00:00,55.354163,-161.664827,20.42,0.37,545,16.11901006363084
2021-01-29 09:19:52.320000+00:00,55.548999,-161.860693,4.41,1.4,683,14.810120877395255
2021-01-29 12:09:02.570000+00:00,55.353153,-161.724268,9.94,1.0,686,12.896399858508788
2021-01-31 17:46:13.380000+00:00,55.307031,-161.878678,15.48,0.29,730,12.313175185670172
2021-02-04 21:17:31.320000+00:00,55.386804,-161.992171,15.57,1.47,815,7.102437938278748
2021-02-08 07:13:58.920000+00:00,55.311654,-161.772217,15.62,1.35,888,14.059868580749693
2021-02-08 16:33:55.840000+00:00,55.393713,-161.792285,20.92,0.7,900,6.940311245341455
2021-02-09 00:16:46.370000+00:00,55.447139,-161.860661,29.11,1.18,904,3.925588185067356
2021-02-09 11:44:39.060000+00:00,55.296248,-162.04943,8.22,0.52,913,16.708700081677215
2021-02-11 20:37:10.200000+00:00,55.460754,-162.075212,6.91,1.8,939,12.465572091902148
2021-02-17 13:02:44.900000+00:00,55.325041,-161.921729,14.58,-0.01,1009,10.423826643764404
2021-02-19 02:07:19.110000+00:00,55.306169,-161.682145,12.05,0.21,1041,18.250102535060407
2021-02-19 13:52:34.560000+00:00,55.324202,-161.901253,29.19,-0.05,1064,10.375689213297635
2021-02-21 05:43:26+00:00,55.35649,-161.774121,11.51,0.09,1086,10.162056835813976
2021-02-21 18:53:44.160000+00:00,55.48182,-161.73654,12.94,0.55,1101,12.267492802827705
2021-02-23 12:29:15.910000+00:00,55.400757,-161.737467,19.91,0.2,1150,10.065952744381187
2021-02-24 19:10:27.280000+00:00,55.541003,-161.839193,29.5,0.76,1189,14.196824240720135
2021-02-26 10:48:32.420000+00:00,55.491219,-161.762533,17.93,0.23,1216,11.687414402871314
2021-02-26 19:00:39.760000+00:00,55.470304,-161.948112,28.77,0.58,1221,6.832264644484766
2021-02-26 19:02:06.520000+00:00,55.463444,-161.947396,31.17,1.08,1222,6.159663084094195
2021-02-28 22:59:50.520000+00:00,55.396427,-161.879411,5.41,0.72,1252,2.4938671636196497
2021-03-04 13:55:02.230000+00:00,55.385238,-161.95721,32.93,0.95,1294,5.37872369833998
2021-03-09 12:08:42.240000+00:00,55.343302,-161.758919,21.38,0.18,1375,11.868381126417136
2021-03-14 23:41:11+00:00,55.322286,-162.094059,3.85,0.59,1447,16.53100359737552
2021-03-15 19:09:49.060000+00:00,55.287199,-162.018408,10.77,0.4,1473,16.503528088477836
2021-03-16 11:12:52.790000+00:00,55.363468,-161.73125,2.1,1.35,1485,11.91209427367445
2021-03-18 02:45:39.160000+00:00,55.438029,-161.853613,29.43,1.04,1531,3.430335655056904
2021-03-18 12:20:28.380000+00:00,55.367338,-161.771419,31.65,1.37,1542,9.538448196615281
2021-03-18 18:01:30.480000+00:00,55.464022,-161.838639,38.86,0.99,1547,6.261090441474289
2021-03-19 20:01:38.040000+00:00,55.505538,-161.733496,7.41,0.74,1572,14.11402560083593
2021-03-20 02:28:33.630000+00:00,55.32747,-161.723747,25.35,0.32,1576,14.700928180767026
2021-03-20 18:46:12.840000+00:00,55.406962,-161.844352,11.22,2.08,1588,3.330706540463628
2021-03-21 06:20:18.140000+00:00,55.397856,-161.828158,16.11,0.31,1599,4.682142121772923
2021-03-27 03:18:55.130000+00:00,55.457487,-161.842236,25.13,0.59,1696,5.534303645082644
2021-03-28 03:51:46.040000+00:00,55.301579,-161.923812,14.8,0.24,1706,13.02400776275851
2021-04-02 12:12:28.870000+00:00,55.474434,-161.797786,31.51,0.75,1774,8.792105665496699
2021-04-03 09:15:35.730000+00:00,55.414494,-161.903239,14.1,0.16,1787,0.6801023532878765
2021-04-04 12:39:52.980000+00:00,55.263452,-161.984115,7.72,1.83,1804,18.063115533301005
2021-04-04 14:44:35.310000+00:00,55.293164,-161.729834,12.22,1.37,1806,17.292226415976177
2021-04-05 13:46:51.460000+00:00,55.455188,-161.847347,33.51,0.81,1820,5.138215660495498
2021-04-06 10:54:14.320000+00:00,55.334819,-161.808317,2.6,0.81,1842,10.659231625150746
2021-04-07 06:37:06.860000+00:00,55.273372,-161.857747,14.16,1.63,1859,16.185022602394493
2021-04-08 16:48:34.770000+00:00,55.315283,-161.760319,15.16,1.71,1877,14.160740216644394
2021-04-12 18:43:41.140000+00:00,55.370866,-161.715527,20.19,0.27,1943,12.417249303238673
2021-04-13 01:26:31.510000+00:00,55.573893,-161.892578,32.64,1.61,1947,17.434054518661654
2021-04-13 05:39:54.950000+00:00,55.39248,-161.948438,35.99,0.29,1949,4.4338872377784275
2021-04-13 22:48:05.880000+00:00,55.368132,-161.858073,14.74,-0.07,1965,5.9211849499136795
2021-04-14 01:31:59.200000+00:00,55.258997,-161.9854,40.08,0.33,1968,18.559574859828558
2021-04-14 05:58:05.820000+00:00,55.398629,-161.815462,35.2,0.51,1973,5.374125127145355
2021-04-14 06:14:08.510000+00:00,55.41696,-161.962516,11.31,1.85,1975,4.3581798950163675
2021-04-17 23:47:09.360000+00:00,55.341988,-161.630404,19.09,0.22,2041,18.67761924560248
2021-04-18 07:30:06.070000+00:00,55.479435,-161.84292,26.1,0.41,2051,7.627474456924873
