time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id
2021-01-01T04:52:27.049,1.501,-161.06,54.902,2008.768,0.093,0.297,0.0,4.0,1,20210101T000000_1
2021-01-01T05:28:14.484,2.324,-161.003,55.113,57377.157,0.28,0.246,0.008,10.0,2,20210101T000000_2
2021-01-01T05:28:23.897,2.64,-161.003,55.125,61000.0,0.596,0.286,-0.001,12.0,3,20210101T000000_3
2021-01-01T08:31:49.150,1.879,-161.09,54.902,53225.937,0.19,0.276,0.009,6.0,1,20210101T080000_1
2021-01-01T08:31:58.250,1.906,-161.197,54.903,57070.733,0.57,0.301,-0.049,6.0,2,20210101T080000_2
2021-01-01T11:56:45.941,1.913,-161.616,54.905,61000.0,0.806,0.356,-0.063,11.0,3,20210101T080000_3
2021-01-01T12:15:44.858,1.487,-161.518,55.034,43564.795,0.0,0.447,0.0,4.0,4,20210101T080000_4
2021-01-01T12:35:11.610,1.644,-161.923,54.905,61000.0,0.643,0.355,-0.102,11.0,5,20210101T080000_5
2021-01-01T12:44:00.430,2.136,-161.035,54.902,48167.332,0.207,0.288,0.003,8.0,6,20210101T080000_6
2021-01-01T12:44:09.646,2.435,-161.133,54.903,52206.758,0.434,0.183,0.003,9.0,7,20210101T080000_7
2021-01-01T12:47:51.881,1.949,-161.04,54.902,45639.199,0.202,0.416,0.01,7.0,8,20210101T080000_8
2021-01-01T12:48:06.054,1.739,-161.006,55.002,5069.819,0.365,0.353,0.006,5.0,9,20210101T080000_9
2021-01-01T14:58:07.230,1.35,-161.352,55.32,52753.738,0.215,0.352,-0.046,5.0,10,20210101T080000_10
2021-01-01T16:55:06.500,1.721,-161.43,55.232,25233.964,0.333,0.398,0.033,9.885,1,20210101T160000_1
2021-01-01T16:55:19.024,2.618,-161.005,55.028,48796.939,0.257,0.275,-0.024,6.0,2,20210101T160000_2
2021-01-01T17:16:54.862,1.921,-161.503,54.904,35974.595,0.3,0.28,0.016,8.0,3,20210101T160000_3
2021-01-01T17:17:10.156,1.748,-161.611,54.905,28818.216,0.516,0.202,-0.039,6.0,4,20210101T160000_4
2021-01-01T19:49:37.570,2.02,-161.449,54.904,61000.0,0.739,0.483,-0.072,6.298,5,20210101T160000_5
2021-01-01T19:49:38.210,2.045,-162.704,54.902,61000.0,0.979,0.304,-0.093,9.702,6,20210101T160000_6
2021-01-01T20:08:58.432,1.482,-161.114,54.902,61000.0,0.437,0.553,-0.13,6.0,7,20210101T160000_7
2021-01-01T20:32:07.579,1.443,-161.04,54.902,43709.007,0.208,0.484,0.002,3.995,8,20210101T160000_8
2021-01-01T20:47:37.099,2.575,-162.773,54.902,61000.0,0.545,0.207,0.004,9.012,9,20210101T160000_9
2021-01-01T20:47:39.592,2.464,-161.773,54.905,61000.0,0.9,0.446,-0.024,7.951,10,20210101T160000_10
2021-01-01T20:52:38.978,1.84,-161.005,55.018,9.837,0.13,0.442,-0.01,5.0,11,20210101T160000_11
2021-01-01T20:52:46.944,2.208,-161.232,54.903,51996.102,0.599,0.211,0.006,7.0,12,20210101T160000_12
2021-01-01T21:02:22.724,1.343,-161.068,54.902,40950.727,0.284,0.47,0.016,5.0,13,20210101T160000_13
2021-01-02T00:27:51.698,2.407,-162.742,54.902,61000.0,0.624,0.399,-0.019,5.903,2,20210102T000000_2
2021-01-02T00:27:52.182,2.242,-161.54,54.904,61000.0,0.941,0.438,-0.113,8.83,1,20210102T000000_1
2021-01-02T02:17:22.859,2.207,-161.008,54.902,61000.0,0.639,0.374,-0.06,16.0,3,20210102T000000_3
2021-01-02T02:46:15.295,2.232,-161.104,55.211,61000.0,0.622,0.343,0.061,17.0,4,20210102T000000_4
2021-01-02T03:05:03.644,1.886,-161.004,55.099,61000.0,0.687,0.514,0.079,7.0,5,20210102T000000_5
2021-01-02T03:05:39.092,1.533,-161.508,55.258,15138.58,0.449,0.483,0.035,5.0,6,20210102T000000_6
2021-01-02T04:55:35.416,1.672,-161.033,54.902,2059.706,0.197,0.398,0.013,5.0,7,20210102T000000_7
2021-01-02T05:44:08.708,1.973,-161.244,54.903,37371.642,0.18,0.285,0.012,7.0,8,20210102T000000_8
2021-01-02T05:44:21.833,1.939,-161.31,54.904,30507.957,0.36,0.304,0.022,6.0,9,20210102T000000_9
2021-01-02T05:45:10.147,1.743,-161.185,54.903,32282.26,0.198,0.349,0.009,5.0,10,20210102T000000_10
2021-01-02T05:51:58.985,1.642,-161.008,54.924,2943.314,0.135,0.447,0.033,5.0,11,20210102T000000_11
2021-01-02T05:52:10.233,1.525,-161.011,54.902,1371.54,0.353,0.383,0.018,4.0,12,20210102T000000_12
2021-01-02T09:15:09.447,0.534,-161.92,55.177,15935.585,0.0,0.557,0.0,4.0,1,20210102T080000_1
2021-01-02T10:53:17.330,2.474,-161.245,54.903,59938.824,0.628,0.2,0.043,10.0,2,20210102T080000_2
2021-01-02T10:53:33.101,2.299,-161.438,54.904,33753.928,0.685,0.294,0.059,7.0,3,20210102T080000_3
2021-01-02T11:16:49.080,1.062,-161.001,55.207,31164.073,0.605,0.514,-0.073,5.0,4,20210102T080000_4
2021-01-02T11:51:54.281,1.438,-161.874,54.905,374.737,0.399,0.417,0.011,8.0,5,20210102T080000_5
2021-01-02T11:52:01.895,1.78,-161.871,54.905,277.544,0.548,0.319,0.007,10.0,6,20210102T080000_6
