id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id,event_id_mapped
AV.DEER..BH,2021-01-01T05:28:54.560000,S,0.303,4.405867002788e-06,3,0.0042061844948316,20210101T000000_3,3
AV.DOL..BH,2021-01-01T04:52:36.720000,P,0.777,4.99779116580612e-06,1,0.0042061844948316,20210101T000000_1,1
AV.DOL..BH,2021-01-01T05:28:27.900000,P,0.906,6.394456249836367e-06,2,0.0042061844948316,20210101T000000_2,2
AV.DOL..BH,2021-01-01T05:28:47.200000,S,0.731,1.834830254665576e-05,3,0.0068869183635061,20210101T000000_3,3
AV.DT1..BH,2021-01-01T05:28:30.940000,P,0.817,3.4157460504502524e-06,2,0.0068869183635061,20210101T000000_2,2
AV.DT1..BH,2021-01-01T05:28:53.280000,S,0.65,4.003275535069406e-06,3,0.0084562608502704,20210101T000000_3,3
AV.DTN..BH,2021-01-01T05:28:30.940000,P,0.864,4.42641248810105e-06,2,0.0084562608502704,20210101T000000_2,2
AV.DTN..BH,2021-01-01T05:28:53.660000,S,0.528,1.194495507661486e-05,3,0.0444411385002593,20210101T000000_3,3
AV.HAG..SH,2021-01-01T04:52:39.040000,P,0.981,1.3249442645246743e-06,1,0.0068869183635061,20210101T000000_1,1
AV.HAG..SH,2021-01-01T05:28:28.700000,P,0.932,2.928528829215793e-06,2,0.0444411385002593,20210101T000000_2,2
AV.HAG..SH,2021-01-01T05:28:49.740000,S,0.803,9.001954822451808e-06,3,0.0027318150625928,20210101T000000_3,3
AV.PN7A..BH,2021-01-01T05:28:30.700000,P,0.872,1.001912823994644e-05,2,0.0027318150625928,20210101T000000_2,2
AV.PN7A..BH,2021-01-01T05:28:52.220000,S,0.463,1.2949996744282544e-05,3,0.0016247638850167,20210101T000000_3,3
AV.PS1A..BH,2021-01-01T05:28:27.820000,P,0.941,8.867946235113777e-06,2,0.0016247638850167,20210101T000000_2,2
AV.PS1A..BH,2021-01-01T05:28:47.820000,S,0.537,1.3068697626295034e-05,3,0.0136587082563519,20210101T000000_3,3
AV.PS4A..BH,2021-01-01T05:28:28.300000,P,0.955,1.1362370969436595e-05,2,0.0136587082563519,20210101T000000_2,2
AV.PS4A..BH,2021-01-01T05:28:48.380000,S,0.795,1.7483085684943944e-05,3,0.0370416794719601,20210101T000000_3,3
AV.PV6A..SH,2021-01-01T04:52:41.860000,P,0.915,7.541471518379694e-07,1,0.0084562608502704,20210101T000000_1,1
AV.PV6A..SH,2021-01-01T05:28:30.440000,P,0.928,1.6923585235417704e-06,2,0.0370416794719601,20210101T000000_2,2
AV.PV6A..SH,2021-01-01T05:28:52.140000,S,0.885,5.422291451395722e-06,3,0.0139018927114787,20210101T000000_3,3
AV.PVV..SH,2021-01-01T04:52:38.680000,P,0.953,5.396843789640116e-07,1,0.0444411385002593,20210101T000000_1,1
