event_id,time,best_v_km_s,peak_energy,peak_percentile_rank,noise_percentile,noise_energy,signal_percentile,signal_ref_energy,Percentile_energy_ratio,winlen_s,num_stations,min_valid_stations_per_v,n_files
102,2021-07-29 23:38:44.800000+00:00,2.402684563758389,391018088.0901918,100.0,50.0,36592636.02648559,90.0,203790386.09795654,5.569163859921268,1.0,11,4,2
11,2021-07-29 09:08:20.310000+00:00,3.530201342281879,114035104.77258568,100.0,50.0,23203752.49019958,90.0,80136700.64655478,3.453609526321297,1.0,10,4,2
12,2021-07-29 09:17:37.990000+00:00,3.651006711409396,197760586.23955014,100.0,50.0,5609161.7530041225,90.0,39530753.81999559,7.047533225231727,1.0,10,4,2
13,2021-07-29 09:23:23.330000+00:00,2.402684563758389,42335054.38293441,100.0,50.0,5768833.204991167,90.0,24578851.80725645,4.260627917962846,1.0,11,4,2
18,2021-07-29 09:43:53.380000+00:00,2.2013422818791946,11428827.821071198,100.0,50.0,712482.0184283755,90.0,4613140.648352996,6.474746771194124,1.0,7,4,2
2,2021-07-29 08:03:26.930000+00:00,3.0067114093959733,1022565924.3170806,100.0,50.0,61463608.76890484,90.0,492313012.65593183,8.009829271609556,1.0,9,4,2
20,2021-07-29 09:52:54.070000+00:00,3.087248322147651,371475063.3673841,100.0,50.0,42551661.85844645,90.0,269452355.9433389,6.3323579896763285,1.0,10,4,2
21,2021-07-29 09:54:13.220000+00:00,2.0805369127516777,1880094315.061301,100.0,50.0,141314419.61963648,90.0,969469036.2500072,6.860368806378296,1.0,11,4,2
23,2021-07-29 10:02:12.400000+00:00,2.8456375838926173,330939777.7171545,100.0,50.0,7876346.929297644,90.0,120459915.24033378,15.293881328698092,1.0,8,4,2
26,2021-07-29 10:13:56.110000+00:00,2.3624161073825505,12931369.488256862,100.0,50.0,835881.8238280737,90.0,7858772.448328578,9.40177453834071,1.0,6,4,2
27,2021-07-29 10:16:29.700000+00:00,2.7248322147651005,70269597.78340876,100.0,50.0,21033481.967977192,90.0,51692769.86099657,2.4576420556376335,1.0,9,4,2
28,2021-07-29 10:17:54.180000+00:00,2.402684563758389,47432376.60961102,100.0,50.0,3881064.9877440846,90.0,30010640.175476298,7.732578627321657,1.0,10,4,2
32,2021-07-29 10:27:25.940000+00:00,2.523489932885906,73906266.43792437,100.0,50.0,8794704.203967415,90.0,37108801.87134558,4.219448546615732,1.0,11,4,2
33,2021-07-29 10:38:27.890000+00:00,3.8120805369127515,30635499.73913865,100.0,50.0,3750864.9697566163,90.0,16213521.377198191,4.322608653718143,1.0,11,4,2
36,2021-07-29 10:54:34.540000+00:00,2.604026845637584,18151487.87286628,100.0,50.0,335579.46762233786,90.0,8750161.827547595,26.074783089515634,1.0,8,4,2
38,2021-07-29 11:05:32.900000+00:00,2.0805369127516777,67349125.57903132,100.0,50.0,2371532.3479437027,90.0,31593185.1213396,13.321844481157203,1.0,11,4,2
44,2021-07-29 11:48:28.910000+00:00,2.0,65651995.15254021,100.0,50.0,1507692.9104989443,90.0,38871934.61150285,25.782395301334187,1.0,9,4,2
46,2021-07-29 12:18:30.230000+00:00,2.523489932885906,42780603.77983132,100.0,50.0,2109956.7736879317,90.0,22497761.59020099,10.662664690934786,1.0,8,4,2
48,2021-07-29 12:28:50.210000+00:00,3.771812080536913,216931430.27375388,100.0,50.0,6581749.7567444015,90.0,105555472.31974925,16.037600367833072,1.0,10,4,2
5,2021-07-29 08:16:23.630000+00:00,2.4832214765100673,1075389379.3302531,100.0,50.0,86108456.1129207,90.0,597812499.2310178,6.942552755179583,1.0,10,4,2
50,2021-07-29 12:43:18.300000+00:00,2.442953020134228,2935627264.674238,100.0,50.0,87030166.7786192,90.0,1167563037.6595066,13.415613009560992,1.0,11,4,2
53,2021-07-29 13:15:20.700000+00:00,2.563758389261745,130545974.0234229,100.0,50.0,4394072.231020495,90.0,91425240.92857262,20.806494777929423,1.0,11,4,2
55,2021-07-29 13:30:55.080000+00:00,2.926174496644295,21638109.48570308,100.0,50.0,3293974.74749959,90.0,12608342.72014536,3.827698657895352,1.0,10,4,2
56,2021-07-29 13:48:44.020000+00:00,2.0,40922199.41011714,100.0,50.0,2443441.5172783984,90.0,23814444.673974182,9.746271603217927,1.0,11,4,2
62,2021-07-29 14:49:57.320000+00:00,2.120805369127517,17938180.857254878,100.0,50.0,4445491.442351959,90.0,9641464.67222754,2.168818632822869,1.0,11,4,2
63,2021-07-29 14:53:03.640000+00:00,3.208053691275168,48141274.30976875,100.0,50.0,1285973.9742724136,90.0,13677925.108539792,10.6362378883123,1.0,10,4,2
64,2021-07-29 14:57:02.980000+00:00,3.8523489932885906,735826.419672438,100.0,50.0,228342.9577636458,90.0,469186.17365694983,2.0547433485669266,1.0,5,4,2
68,2021-07-29 15:30:21.950000+00:00,2.7651006711409396,172735268.2127586,100.0,50.0,16270600.538419522,90.0,108465964.7637666,6.666377464534733,1.0,10,4,2
7,2021-07-29 08:26:00.040000+00:00,2.3624161073825505,15566644.303901792,100.0,50.0,3850182.866851962,90.0,6678270.538878867,1.7345333377215,1.0,6,4,2
70,2021-07-29 16:08:42.960000+00:00,3.7315436241610738,4610254.1924836,100.0,50.0,1604164.9456108117,90.0,2830968.821611481,1.764761678253444,1.0,11,4,2
71,2021-07-29 16:09:41.650000+00:00,2.402684563758389,17955246041.889824,100.0,50.0,1108146710.3098598,90.0,10266543439.212934,9.264606702069445,1.0,11,4,2
73,2021-07-29 17:00:24.120000+00:00,2.0,53658094.73298696,100.0,50.0,4848927.894880886,90.0,26485799.046647657,5.462196926996845,1.0,11,4,2
74,2021-07-29 17:04:04.780000+00:00,2.120805369127517,1304893.0605854508,100.0,50.0,445096.8358589646,90.0,1054225.2907473454,2.3685301844774114,1.0,5,4,2
76,2021-07-29 17:23:00.200000+00:00,2.120805369127517,15523397.629623014,100.0,50.0,853966.7285882265,90.0,5763434.289438313,6.749015033602531,1.0,11,4,2
78,2021-07-29 17:33:06.720000+00:00,3.1677852348993287,6590716.582232083,100.0,50.0,498859.44827947614,90.0,4293049.005382153,8.605728567813067,1.0,9,4,2
8,2021-07-29 08:40:45.560000+00:00,2.2416107382550337,884577459.1977335,100.0,50.0,39723429.22057898,90.0,435788956.06017274,10.97057743026902,1.0,11,4,2
80,2021-07-29 17:52:10.500000+00:00,2.604026845637584,13401397.432627888,100.0,50.0,1351320.351400224,90.0,7183526.91058569,5.31593186111805,1.0,10,4,2
81,2021-07-29 18:14:38.920000+00:00,2.040268456375839,29539303.61085117,100.0,50.0,813910.4446566006,90.0,13647684.878113171,16.768042439695325,1.0,10,4,2
82,2021-07-29 18:17:45.480000+00:00,2.120805369127517,8040835.072585634,100.0,50.0,952575.0884487391,90.0,3914238.3446152187,4.109112648525718,1.0,6,4,2
83,2021-07-29 18:38:14.600000+00:00,3.046979865771812,45775923.049669,100.0,50.0,1901968.0608163988,90.0,17622397.250504047,9.265348674120125,1.0,11,4,2
84,2021-07-29 18:46:50.320000+00:00,2.402684563758389,2560955.60979117,100.0,50.0,301610.83733298443,90.0,1141878.6951965485,3.785933905073482,1.0,7,4,2
86,2021-07-29 19:12:07.840000+00:00,2.4832214765100673,833560685.9929955,100.0,50.0,13546588.698749185,90.0,293761038.88343143,21.685240868836274,1.0,10,4,2
88,2021-07-29 19:53:30.760000+00:00,2.2818791946308723,16558980.400787726,100.0,50.0,4322874.199435651,90.0,9529089.337354533,2.2043411160561996,1.0,11,4,2
9,2021-07-29 08:55:58.050000+00:00,2.604026845637584,880427774.8043375,100.0,50.0,10355045.909729071,90.0,506364095.58972067,48.90022700082545,1.0,6,4,2
